code,label
FIN,1
DNK,1
NOR,1
ISL,1
NLD,1
CHE,1
SWE,1
NZL,1
CAN,1
AUT,1
AUS,1
CRI,0
ISR,1
LUX,1
GBR,1
IRL,1
DEU,1
BEL,1
USA,1
CZE,1
ARE,1
MLT,1
MEX,0
FRA,1
CHL,0
GTM,1
SAU,0
ESP,1
PAN,0
BRA,0
URY,1
SGP,0
SLV,1
ITA,0
BHR,1
SVK,1
POL,1
UZB,1
LTU,0
COL,1
SVN,0
NIC,1
CS-KM,1
ARG,1
ROU,0
CYP,0
ECU,0
KWT,1
THA,1
LVA,1
KOR,0
EST,0
JAM,1
MUS,0
JPN,1
HND,0
KAZ,1
BOL,0
HUN,0
PRY,0
PER,1
PRT,0
PAK,1
RUS,1
PHL,0
SRB,1
MDA,1
LBY,1
MNE,1
TJK,0
HRV,0
DOM,1
BIH,1
TUR,1
MYS,1
BLR,0
GRC,0
MNG,1
NGA,0
KGZ,2
TKM,1
DZA,0
MAR,0
AZE,0
LBN,0
IDN,2
CHN,0
VNM,1
CMR,2
BGR,2
GHA,1
CIV,2
NPL,0
JOR,0
BEN,2
COG,1
GAB,1
LAO,1
ZAF,2
ALB,0
VEN,2
PSE,0
SEN,2
NAM,1
NER,1
BFA,2
ARM,1
IRN,2
GIN,0
GEO,2
GMB,2
KEN,0
MRT,0
MOZ,0
TUN,0
BGD,2
IRQ,2
COD,1
MLI,2
SLE,2
LKA,1
MMR,2
TCD,0
UKR,0
ETH,0
SWZ,0
UGA,2
EGY,0
ZMB,2
TGO,2
IND,2
LBR,0
COM,2
MDG,0
LSO,2
BDI,0
ZWE,2
HTI,2
BWA,2
MWI,2
YEM,2
RWA,2
TZA,2
