pays,score_2015,score_2016,score_2017,score_2018,score_2019,score_2020,country_official
Finlande,"7,406","7,413","7,469","7,632","7,769","7,809",Republic of Finland
Danemark,"7,527","7,526","7,522","7,555","7,600","7,646",Kingdom of Denmark
Suisse,"7,587","7,509","7,494","7,487","7,480","7,560",Swiss Confederation
Islande,"7,561","7,501","7,504","7,495","7,494","7,504",Republic of Iceland
Norvège,"7,522","7,498","7,537","7,594","7,554","7,488",Kingdom of Norway
Pays-Bas,"7,378","7,339","7,377","7,441","7,488","7,449",Kingdom of the Netherlands
Suède,"7,364","7,291","7,284","7,314","7,343","7,353",Kingdom of Sweden
Nouvelle-Zélande,"7,286","7,334","7,314","7,324","7,307","7,300",New Zealand
Autriche,"7,200","7,119","7,006","7,139","7,246","7,294",Republic of Austria
Luxembourg,"6,946","6,871","6,863","6,910","7,090","7,238",Grand Duchy of Luxembourg
Canada,"7,427","7,404","7,316","7,328","7,278","7,232",Canada
Australie,"7,284","7,313","7,284","7,272","7,228","7,223",Australia
Royaume-Uni,"6,867","6,725","6,714","7,190","7,054","7,165",United Kingdom of Great Britain and Northern Ireland
Israël,"7,278","7,267","7,213","6,814","7,139","7,129",State of Israel
Costa Rica,"7,226","7,087","7,079","7,072","7,167","7,121",Republic of Costa Rica
Irlande,"6,940","6,907","6,977","6,977","7,021","7,094",Ireland
Allemagne,"6,750","6,994","6,951","6,965","6,985","7,076",Federal Republic of Germany
Porto Rico (États-Unis),,"7,039",,,,,United States of America
États-Unis,"7,119","7,104","6,993","6,886","6,892","6,940",United States of America
République tchèque,"6,505","6,596","6,609","6,711","6,852","6,911",Czech Republic
Belgique,"6,937","6,929","6,891","6,927","6,923","6,864",Kingdom of Belgium
Oman,"6,853",,,,,,Sultanate of Oman
Émirats arabes unis,"6,901","6,573","6,648","6,774","6,825","6,791",United Arab Emirates
Malte,"6,302","6,488","6,527","6,627","6,726","6,773",Republic of Malta
France,"6,575","6,478","6,442","6,489","6,592","6,664",French Republic
Mexique,"7,187","6,778","6,578","6,488","6,595","6,465",United Mexican States
Taïwan,"6,298","6,379","6,422","6,441","6,446","6,455",Taiwan
Uruguay,"6,485","6,545","6,454","6,379","6,293","6,440",Eastern Republic of Uruguay
Arabie saoudite,"6,411","6,379","6,344","6,371","6,375","6,406",Kingdom of Saudi Arabia
Espagne,"6,329","6,361","6,403","6,310","6,354","6,401",Kingdom of Spain
Guatemala,"6,123","6,324","6,454","6,382","6,436","6,399",Republic of Guatemala
Italie,"5,948","5,977","5,964","6,000","6,223","6,387",Italian Republic
Singapour,"6,798","6,739","6,572","6,343","6,262","6,377",Republic of Singapore
Brésil,"6,983","6,952","6,635","6,419","6,300","6,376",Federative Brazil
