"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"84","Afghanistan","Total","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","93.1",""
"84","Afghanistan","Total","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","94.2","1"
"84","Afghanistan","Total","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","93.0",""
"84","Afghanistan","Total","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","92.9",""
"84","Afghanistan","Total","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","92.8",""
"84","Afghanistan","Total","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","92.7",""
"149","Albania","Total","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","100.7",""
"149","Albania","Total","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.7",""
"149","Albania","Total","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.6",""
"149","Albania","Total","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.6",""
"149","Albania","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","100.5",""
"149","Albania","Total","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","101.0",""
"149","Albania","Total","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.3",""
"149","Albania","Total","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","97.1",""
"149","Albania","Total","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","94.5",""
"149","Albania","Total","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","95.0",""
"149","Albania","Total","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","94.2",""
"149","Albania","Total","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","94.3",""
"149","Albania","Total","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","94.2",""
"149","Albania","Total","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","94.2",""
"149","Albania","Total","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","94.2",""
"149","Albania","Total","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","93.8",""
"149","Albania","Total","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","93.9",""
"30","Algeria","Total","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.1",""
"30","Algeria","Total","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","97.9","2"
"30","Algeria","Total","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","97.9","2"
"30","Algeria","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","97.9","2"
"30","Algeria","Total","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","98.1","2"
"30","Algeria","Total","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.2",""
"30","Algeria","Total","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","98.0","2"
"30","Algeria","Total","1998","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","98.0","3"
"30","Algeria","Total","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","97.3","2"
"30","Algeria","Total","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","97.3","2"
"30","Algeria","Total","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","97.3","2"
"30","Algeria","Total","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","97.3","2"
"30","Algeria","Total","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.3",""
"30","Algeria","Total","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.5",""
"30","Algeria","Total","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.9",""
"261","American Samoa","Total","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","95.8","4"
"261","American Samoa","Total","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","94.7","4"
"150","Andorra","Total","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","92.6","5"
"150","Andorra","Total","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","93.0","5"
"150","Andorra","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","92.4","5"
"150","Andorra","Total","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","92.4","6"
"150","Andorra","Total","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","92.4","5"
"150","Andorra","Total","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","91.9","3"
"150","Andorra","Total","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","91.3","3"
"150","Andorra","Total","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","95.1","3"
"16","Angola","Total","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","102.9",""
"16","Angola","Total","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","103.0",""
"16","Angola","Total","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","103.0",""
"16","Angola","Total","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","103.0",""
"16","Angola","Total","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","103.2",""
"207","Anguilla","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","103.1",""
"207","Anguilla","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.8",""
"207","Anguilla","Total","1992","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","100.3",""
"210","Antigua and Barbuda","Total","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","112.9",""
"210","Antigua and Barbuda","Total","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","112.9",""
"210","Antigua and Barbuda","Total","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","112.9",""
"210","Antigua and Barbuda","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","109.2",""
"210","Antigua and Barbuda","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","112.9",""
"210","Antigua and Barbuda","Total","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","107.4",""
