"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"84","Afghanistan","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.29",""
"149","Albania","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"30","Algeria","Total 15+ yr","2002","UNESCO_UIS Database_Sep2007","Ratio","0.76",""
"30","Algeria","Total 15+ yr","1987","UNESCO_UIS Database_Sep2007","Ratio","0.57",""
"16","Angola","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.65",""
"209","Argentina","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"209","Argentina","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"86","Armenia","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"86","Armenia","Total 15+ yr","1989","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"206","Aruba","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"88","Azerbaijan","Total 15+ yr","1999","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"90","Bahrain","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.94",""
"90","Bahrain","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","0.87",""
"89","Bangladesh","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.76",""
"89","Bangladesh","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","0.58",""
"155","Belarus","Total 15+ yr","1999","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"155","Belarus","Total 15+ yr","1989","UNESCO_UIS Database_Sep2007","Ratio","0.97",""
"212","Belize","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"18","Benin","Total 15+ yr","2002","UNESCO_UIS Database_Sep2007","Ratio","0.49",""
