"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"84","Afghanistan","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","9.5","1"
"84","Afghanistan","Male 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","7.6","1"
"149","Albania","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","17.5","2"
"149","Albania","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","18.3","2"
"149","Albania","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","28.4","3"
"149","Albania","Female 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","27.1","3"
"149","Albania","Male 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","12.4","2"
"149","Albania","Male 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","13.2","2"
"149","Albania","Male 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","18.8","3"
"149","Albania","Male 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","41.6","3"
"30","Algeria","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","17.5","4"
"30","Algeria","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","21.3","5"
"30","Algeria","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","25.4","6"
"30","Algeria","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","31.4","6"
"30","Algeria","Female 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","46.3","5"
"30","Algeria","Male 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","14.9","4"
"30","Algeria","Male 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","19.8","5"
"30","Algeria","Male 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","23.4","6"
"30","Algeria","Male 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","26.6","6"
"30","Algeria","Male 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","42.8","5"
"207","Anguilla","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","9.5","7"
"207","Anguilla","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","7.1","8"
"207","Anguilla","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","12.4","9"
"207","Anguilla","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","8.3","8"
"207","Anguilla","Female 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","17.8","8"
"207","Anguilla","Female 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","18.4","10"
"207","Anguilla","Male 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","6.3","7"
"207","Anguilla","Male 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","6.5","8"
"207","Anguilla","Male 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","4.7","9"
"207","Anguilla","Male 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","6.0","8"
"207","Anguilla","Male 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","10.0","8"
"207","Anguilla","Male 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","15.0","10"
"209","Argentina","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","12.5","11"
"209","Argentina","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","14.5","12"
"209","Argentina","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","18.7","12"
