"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"84","Afghanistan","Urban Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2130400","1"
"84","Afghanistan","Urban Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2332600","1"
"149","Albania","Urban Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","745108",""
"149","Albania","Urban Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","738382",""
"149","Albania","Urban Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","722811",""
"149","Albania","Urban Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","579890",""
"149","Albania","Urban Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","564962",""
"149","Albania","Urban Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","547900",""
"149","Albania","Urban Female","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","533300",""
"149","Albania","Urban Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","519400",""
"149","Albania","Urban Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","505900",""
"149","Albania","Urban Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","661335",""
"149","Albania","Urban Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","636985",""
"149","Albania","Urban Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","625060",""
"149","Albania","Urban Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","596112",""
"149","Albania","Urban Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","581544",""
"149","Albania","Urban Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","563500",""
"149","Albania","Urban Male","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","549500",""
"149","Albania","Urban Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","536300",""
"149","Albania","Urban Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","523300",""
"30","Algeria","Urban Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","8403652","2"
"30","Algeria","Urban Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","8563287","2"
"261","American Samoa","Urban Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","7668","3"
"261","American Samoa","Urban Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","7931","3"
"209","Argentina","Urban Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","17735425","4"
"209","Argentina","Urban Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","17541854","4"
"209","Argentina","Urban Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","17348104","4"
"209","Argentina","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","16802651",""
"209","Argentina","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","17150651","4"
"209","Argentina","Urban Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","16944716","4"
"209","Argentina","Urban Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","16758540","4"
"209","Argentina","Urban Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","16559682","4"
"209","Argentina","Urban Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","16361823","4"
"209","Argentina","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","15629299",""
"209","Argentina","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","16161696","4"
"209","Argentina","Urban Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","15957354","4"
"86","Armenia","Urban Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1085256","2"
"86","Armenia","Urban Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1086596","2"
"86","Armenia","Urban Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1089138","2"
"86","Armenia","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1046537","5"
"86","Armenia","Urban Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1135467",""
"86","Armenia","Urban Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1240900",""
"86","Armenia","Urban Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1213200",""
"86","Armenia","Urban Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","976728","2"
"86","Armenia","Urban Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","975356","2"
"86","Armenia","Urban Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","974775","2"
"86","Armenia","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","898977","5"
"86","Armenia","Urban Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1094073",""
"86","Armenia","Urban Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1157200",""
"86","Armenia","Urban Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1152500",""
"262","Australia","Urban Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","8863753","2"
"262","Australia","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","8340547",""
"262","Australia","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","7980406","6"
"262","Australia","Urban Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","6749084",""
"262","Australia","Urban Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","8639350","2"
"262","Australia","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","8003865",""
"262","Australia","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","7764126","6"
"262","Australia","Urban Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","6567861",""
"151","Austria","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2803865","2"
"151","Austria","Urban Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2646187","2"
"151","Austria","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2564828","2"
"151","Austria","Urban Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2386002","2"
"88","Azerbaijan","Urban Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2186800",""
"88","Azerbaijan","Urban Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2171200",""
"88","Azerbaijan","Urban Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2122000",""
"88","Azerbaijan","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2112000",""
"88","Azerbaijan","Urban Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2102600",""
"88","Azerbaijan","Urban Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2083562","2"
"88","Azerbaijan","Urban Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2093300",""
"88","Azerbaijan","Urban Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2079100",""
"88","Azerbaijan","Urban Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2063700",""
"88","Azerbaijan","Urban Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2057300",""
"88","Azerbaijan","Urban Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2042500",""
"88","Azerbaijan","Urban Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2021700",""
"88","Azerbaijan","Urban Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1937974","2"
"88","Azerbaijan","Urban Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2089500",""
"88","Azerbaijan","Urban Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2070800",""
