"Table ID","Country or Area Code","Country or Area","Year","Value","Value Footnotes","Unit"
"163","8","Albania","2015","87","","%"
"163","8","Albania","2014","83","","%"
"163","8","Albania","2012","77","","%"
"163","12","Algeria","2015","90","","%"
"163","12","Algeria","2014","90","","%"
"163","12","Algeria","2013","90","","%"
"163","12","Algeria","2012","90","","%"
"163","12","Algeria","2011","87","","%"
"163","12","Algeria","2010","86","","%"
"163","12","Algeria","2009","79","","%"
"163","12","Algeria","2008","77.5","","%"
"163","12","Algeria","2007","74","","%"
"163","12","Algeria","2006","72","","%"
"163","12","Algeria","2005","72","","%"
"163","12","Algeria","2004","72","","%"
"163","12","Algeria","2003","71","","%"
"163","12","Algeria","2002","71","","%"
"163","12","Algeria","2001","71","","%"
"163","12","Algeria","2000","83","","%"
"163","12","Algeria","1998","66.3399963378906","","%"
"163","12","Algeria","1995","55.7299995422363","","%"
"163","12","Algeria","1990","48.3199996948242","","%"
"163","20","Andorra","2015","100","","%"
"163","20","Andorra","2014","100","","%"
"163","20","Andorra","2013","100","","%"
"163","20","Andorra","2012","100","","%"
"163","20","Andorra","2011","100","","%"
"163","20","Andorra","2010","100","","%"
"163","20","Andorra","2009","100","","%"
"163","20","Andorra","2008","100","","%"
"163","20","Andorra","2007","100","","%"
"163","20","Andorra","2006","100","","%"
"163","20","Andorra","2005","100","","%"
"163","20","Andorra","2004","100","","%"
"163","20","Andorra","2003","100","","%"
"163","20","Andorra","2002","100","","%"
"163","20","Andorra","2001","100","","%"
"163","20","Andorra","2000","100","","%"
"163","20","Andorra","1999","100","","%"
"163","32","Argentina","2010","50.2099990844727","","%"
"163","32","Argentina","2001","42.5","","%"
"163","51","Armenia","2015","69.9000015258789","","%"
"163","51","Armenia","2014","68.5","","%"
"163","51","Armenia","2013","69.6999969482422","","%"
"163","51","Armenia","2012","68","","%"
"163","51","Armenia","2011","69.5999984741211","","%"
"163","51","Armenia","2010","69.1999969482422","","%"
"163","51","Armenia","2009","69.0999984741211","","%"
"163","51","Armenia","2008","66.6999969482422","","%"
"163","51","Armenia","2007","67","","%"
"163","51","Armenia","2006","66.0999984741211","","%"
"163","51","Armenia","2005","65.0999984741211","","%"
"163","51","Armenia","2004","61.5999984741211","","%"
"163","51","Armenia","2003","60.2000007629395","","%"
"163","51","Armenia","2002","58.7999992370605","","%"
"163","51","Armenia","2001","62.7999992370605","","%"
"163","51","Armenia","2000","63.2999992370605","","%"
"163","51","Armenia","1999","63.5999984741211","","%"
"163","51","Armenia","1998","63.7000007629395","","%"
